GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
java-springboot-spock-template,br.com.omarcoteixeira.data.mapper,UserMapper,5,0,0,0,1,0,1,0,1,0
java-springboot-spock-template,br.com.omarcoteixeira.data.mapper,UserMapperImpl,21,19,3,1,7,6,3,2,1,2
java-springboot-spock-template,br.com.omarcoteixeira.data.mapper,BaseMapperImpl,0,3,0,0,0,1,0,1,0,1
java-springboot-spock-template,br.com.omarcoteixeira.data.mapper,PostMapperImpl,0,3,0,0,0,1,0,1,0,1
java-springboot-spock-template,br.com.omarcoteixeira.data.dto.user,UserCreateDto,92,23,22,0,0,3,14,6,3,6
java-springboot-spock-template,br.com.omarcoteixeira.data.dto.user,UserDto,75,0,14,0,2,0,14,0,7,0
java-springboot-spock-template,br.com.omarcoteixeira.data.model.user,User.UserBuilder,36,0,0,0,1,0,6,0,6,0
java-springboot-spock-template,br.com.omarcoteixeira.data.model.user,User,112,72,21,9,2,5,21,8,6,8
java-springboot-spock-template,br.com.omarcoteixeira.config,MetricsConfiguration,14,37,4,0,0,13,4,3,2,3
java-springboot-spock-template,br.com.omarcoteixeira.config,HealthConfiguration,0,9,0,0,0,2,0,2,0,2
java-springboot-spock-template,br.com.omarcoteixeira.config,RepositoryConfiguration,0,7,0,0,0,2,0,2,0,2
java-springboot-spock-template,br.com.omarcoteixeira.config,ApplicationConfiguration,0,3,0,0,0,1,0,1,0,1
java-springboot-spock-template,br.com.omarcoteixeira.config,UseCaseConfiguration,0,8,0,0,0,2,0,2,0,2
java-springboot-spock-template,br.com.omarcoteixeira.controller,HealthController,0,11,0,0,0,2,0,2,0,2
java-springboot-spock-template,br.com.omarcoteixeira.controller,PostController,2,6,0,0,1,1,1,1,1,1
java-springboot-spock-template,br.com.omarcoteixeira.controller,UserController,0,19,0,0,0,3,0,2,0,2
java-springboot-spock-template,br.com.omarcoteixeira.data.model.health,HealthStatus,5,19,0,0,2,3,1,2,1,2
java-springboot-spock-template,br.com.omarcoteixeira.data.model.post,PostStatusEnum,0,38,0,0,0,6,0,3,0,3
java-springboot-spock-template,br.com.omarcoteixeira.data.model.post,Post,74,0,14,0,3,0,13,0,6,0
java-springboot-spock-template,br.com.omarcoteixeira.data.model.metrics,MetricsEnum,0,36,0,0,0,6,0,4,0,4
java-springboot-spock-template,br.com.omarcoteixeira,ApplicationStarter,24,0,0,0,6,0,2,0,2,0
java-springboot-spock-template,br.com.omarcoteixeira.usecase.user,GetUserByIdUseCaseImpl,9,10,0,0,2,2,1,2,1,2
java-springboot-spock-template,br.com.omarcoteixeira.repository.user,GetUserByIdRepositoryMongoImpl,7,7,0,0,1,2,1,2,1,2
